model,lr,seed,molecule,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esm3_small,e5,s42,HLA-DRB1~04:04_HLA-DRA~01:01,0.6788798257908886,0.49888801514724346,0.5819428279197136,0.5204394194531312,0.24464686554292947,5
esm3_small,e5,s42,HLA-DRB1~04:05_HLA-DRA~01:01,0.8435932460633655,0.8960289131136852,0.8339801345446773,0.7816421656507708,0.5209663699489749,5
esm3_small,e5,s42,HLA-DRB1~07:01_HLA-DRA~01:01,0.6770417835081586,0.46370643635162007,0.42675607477849303,0.6361255077741981,0.1997696588869651,5
esm3_small,e5,s42,HLA-DRB1~08:01_HLA-DRA~01:01,0.7788730355740665,0.9147954983741318,0.7095102917746836,0.6372804532577904,0.34004284997269973,5
esm3_small,e5,s42,HLA-DRB1~08:02_HLA-DRA~01:01,0.7226027397260274,0.6484519691558246,0.6205568307299832,0.6608037825059101,0.3166828126537693,5
esm3_small,e5,s42,HLA-DRB1~09:01_HLA-DRA~01:01,0.7921626572416676,0.8054244631865414,0.7686297055465268,0.7345557122708039,0.45916227397820586,5
esm3_small,e5,s42,HLA-DRB1~11:01_HLA-DRA~01:01,0.8269473644793639,0.8319460312065411,0.7556139347564288,0.7203643461288224,0.46310702295253653,5
esm3_small,e5,s42,HLA-DRB1~12:01_HLA-DRA~01:01,0.7896921656638971,0.7930624587804063,0.6458448661306184,0.6909200240529165,0.4043743351917145,5
esm3_small,e5,s42,HLA-DRB1~13:01_HLA-DRA~01:01,0.8854172296210512,0.934410874507206,0.841674593116586,0.8010160880609654,0.5835554755674626,5
esm3_small,e5,s42,HLA-DRB1~13:02_HLA-DRA~01:01,0.7179446186418381,0.6721629406223218,0.6856387783984703,0.6538427755819061,0.33518406875159784,5
esm3_small,e5,s42,HLA-DRB1~14:54_HLA-DRA~01:01,0.9026506662320198,0.9666718291529243,0.8938945470701884,0.8435374149659864,0.6011380832055471,5
esm3_small,e5,s42,HLA-DRB1~15:01_HLA-DRA~01:01,0.7697714639100959,0.5777716940836088,0.5709162811004667,0.7211186540731995,0.3827941773967252,5
esm3_small,e5,s42,HLA-DRB1~16:02_HLA-DRA~01:01,0.7866319444444444,0.9219257565066487,0.8739812246244367,0.7871428571428571,0.2646051932363005,5
esm3_small,e5,s42,HLA-DRB3~01:01_HLA-DRA~01:01,0.6798900949340799,0.5857104358904713,0.5902450741131255,0.5935630689206761,0.23744477380304282,5
esm3_small,e5,s42,HLA-DRB3~02:02_HLA-DRA~01:01,0.8367895909060001,0.8504769922441341,0.7439455756860986,0.7433526011560694,0.49318792216762475,5
esm3_small,e5,s42,HLA-DRB3~03:01_HLA-DRA~01:01,0.7704295448556262,0.8513954487855211,0.7674851598100547,0.709375,0.38762947081206106,5
esm3_small,e5,s42,HLA-DRB4~01:01_HLA-DRA~01:01,0.7939806339485227,0.7837520985416604,0.7266763363013122,0.6826739427012278,0.3996526716860471,5
esm3_small,e5,s42,HLA-DRB5~01:01_HLA-DRA~01:01,0.832051994583928,0.9010166833156376,0.8350691871846374,0.7714613838644846,0.47440771255575037,5
esmc_small,e5,s100,H2-IAbB_H2-IAbA,0.695396752774905,0.8781724703045708,0.7291915690506778,0.6397649363369246,0.2281248201234028,5
esmc_small,e5,s100,H2-IAdB_H2-IAdA,0.6858008429926239,0.6051646219039732,0.5658109997838908,0.6352,0.25411149355009005,5
esmc_small,e5,s100,H2-IEdB_H2-IEdA,0.6347826086956522,0.2902113781183994,0.3937865296718157,0.5107142857142858,0.17916984321105403,5
esmc_small,e5,s100,HLA-DPB1~01:01_HLA-DPA1~02:01,0.9694108023823521,0.987988783003068,0.9316874662685499,0.9067287346593315,0.7882915472983449,5
esmc_small,e5,s100,HLA-DPB1~02:01_HLA-DPA1~01:03,0.9218192241046108,0.9713568344887806,0.8870451080753641,0.8070175438596492,0.36458823817857755,5
esmc_small,e5,s100,HLA-DPB1~04:01_HLA-DPA1~01:03,0.9758992571959146,0.9935129579022737,0.9558723092008883,0.9302595251242407,0.7920335721245306,5
esmc_small,e5,s100,HLA-DPB1~04:02_HLA-DPA1~03:01,0.8304893287349427,0.6050534870133754,0.593915232380145,0.7864754098360656,0.4511720603721671,5
esmc_small,e5,s100,HLA-DPB1~05:01_HLA-DPA1~02:01,0.8257914704343277,0.5379187340873577,0.5483054156881583,0.771311475409836,0.42099495413652094,5
esmc_small,e5,s100,HLA-DPB1~05:01_HLA-DPA1~02:02,0.846574507739553,0.9167344049633771,0.8313574183072238,0.7765061759516007,0.503821598347608,5
esmc_small,e5,s100,HLA-DQB1~02:01_HLA-DQA1~05:01,0.858245273705939,0.9074280833885868,0.7940490657233508,0.7380482456140351,0.46206491243024655,5
esmc_small,e5,s100,HLA-DQB1~03:01_HLA-DQA1~02:01,0.7220461365341335,0.7371284642257103,0.7153418139756622,0.6477653631284916,0.3090720573120725,5
esmc_small,e5,s100,HLA-DQB1~03:01_HLA-DQA1~03:01,0.8473389355742297,0.8321478808686601,0.7582691101856187,0.7973684210526316,0.5910752676126442,5
esmc_small,e5,s100,HLA-DQB1~03:01_HLA-DQA1~05:01,0.7816660053566113,0.8421825295188612,0.751279728099979,0.6117882117882119,0.14505983584646556,5
esmc_small,e5,s100,HLA-DQB1~03:02_HLA-DQA1~03:01,0.7098717693397061,0.6764293087786398,0.5891805917350978,0.6474744344592501,0.2871738303179957,5
esmc_small,e5,s100,HLA-DQB1~03:02_HLA-DQA1~05:01,0.7537587363824005,0.5920366104993903,0.524805645126791,0.6873972602739726,0.3079396256456195,5
esmc_small,e5,s100,HLA-DQB1~03:03_HLA-DQA1~02:01,0.8792183962826166,0.8520785889534783,0.7298721558901156,0.7808988764044944,0.5676327776836284,5
esmc_small,e5,s100,HLA-DQB1~03:03_HLA-DQA1~05:01,0.847488344988345,0.8194450609479592,0.7383055051005444,0.7368821292775666,0.4994540067616892,5
esmc_small,e5,s100,HLA-DQB1~04:02_HLA-DQA1~02:01,0.8603965243947982,0.8310224448391971,0.7385036855727393,0.788888888888889,0.568153116095089,5
esmc_small,e5,s100,HLA-DQB1~04:02_HLA-DQA1~03:03,0.7894233045831219,0.6196839005951761,0.6051644267643258,0.6709677419354839,0.39385113666696664,5
esmc_small,e5,s100,HLA-DQB1~04:02_HLA-DQA1~05:01,0.8342531442516083,0.8607730963623819,0.7222570523763447,0.734978229317852,0.5048246622182211,5
esmc_small,e5,s100,HLA-DQB1~04:02_HLA-DQA1~06:01,0.8532122572526613,0.7189176114825688,0.6731793599596113,0.7371428571428571,0.5092891959145762,5
esmc_small,e5,s100,HLA-DQB1~05:01_HLA-DQA1~01:01,0.7493367987954003,0.5251621124242335,0.49519352634016156,0.7374883720930233,0.32494424757302226,5
esmc_small,e5,s100,HLA-DQB1~05:01_HLA-DQA1~01:02,0.6688520468295749,0.7435663759808603,0.4901170067129422,0.5447332421340629,0.19958035624089018,5
