model,lr,stratum,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
esm3_small,e5,"9-mer overlap, not exact",0.9320522407991026,0.001391736105371198,0.9853622581213868,0.00024789591417916356,0.935109556546314,0.0025458126266513937,0.8924142543231107,0.0035431852930440213,0.6212933917517621,0.002690519981613078,3.0,s100|s128|s42,
esm3_small,e5,>=1 9-mer overlap,0.9122849605197753,0.0009887638016683243,0.9290985770069161,0.0006941807360940773,0.837219950271832,0.003148774455643347,0.8278947531150481,0.0012783005455650586,0.6552281471009512,0.001759400653742237,3.0,s100|s128|s42,
esm3_small,e5,Exact 15-mer match,0.899609172611156,0.0009915589088661549,0.9014591461011658,0.0007178595189963759,0.8039148087424884,0.003613635160810489,0.8154392371677824,0.0008963704354745931,0.6301873843035164,0.0019860853322202273,3.0,s100|s128|s42,
esm3_small,e5,No 9-mer overlap,0.8829496971341748,0.0022991858895542276,0.9959473307139222,7.93789818075942e-05,0.9638339110379096,0.003784196892574912,0.9312675337924,0.006861762728775205,0.3045247698274963,0.0011274598624314077,3.0,s100|s128|s42,
esm3_small,e5,Overall,0.9210836366459788,0.0011225998256721834,0.9461085894765647,0.0006955247734318174,0.8598867604775036,0.0031065109530542968,0.8390718067504963,0.0018809678376891096,0.6715714137654029,0.002258954850648694,3.0,s100|s128|s42,
esmc_large,e5,"9-mer overlap, not exact",0.9094644061827973,0.007242475705933003,0.9799692312496503,0.0018515828913844288,0.9225984359116035,0.004593720677433847,0.8725613833954333,0.006983200509666875,0.5637942526239256,0.01686911724220411,3.0,s100|s128|s42,
esmc_large,e5,>=1 9-mer overlap,0.8995577696059082,0.0005670666439946939,0.9189365546490529,0.0005960130628123775,0.8224324629100498,0.0026020534851033993,0.814312215935442,0.0007753434013692409,0.629143907588914,0.0011104133102442148,3.0,s100|s128|s42,
esmc_large,e5,Exact 15-mer match,0.8868166402210343,0.000464588262996672,0.8899863728278253,0.0002869804443743688,0.7881488599785672,0.0022099622214317794,0.803067190468286,0.000873292078813321,0.6055582568522584,0.0018515765058630196,3.0,s100|s128|s42,
esmc_large,e5,No 9-mer overlap,0.8675264326818164,0.00948730731064825,0.9954645740467534,0.00033212110806979297,0.9570097222513579,0.005532665648733335,0.9188599846977811,0.009974432395791164,0.2670704725649894,0.0204939326243978,3.0,s100|s128|s42,
esmc_large,e5,Overall,0.90935710186299,0.0009579029212872139,0.9379065581767948,0.0008217876069018607,0.8466204733786334,0.002949306046709465,0.8256163136995367,0.0015622696924507964,0.6461425302686871,0.0011721174691253396,3.0,s100|s128|s42,
